lat_cluster,lon_cluster,temperature_avg_min,temperature_avg_max,temperature_avg_mean,humidity_min,humidity_max,humidity_mean,temperature_max_max,temperature_min_min
-86.4,-127.5,33.989999999999995,33.989999999999995,33.989999999999995,14,14,14.0,38.48,29.5
-86.4,-46.2,36.815,36.815,36.815,61,61,61.0,43.52,30.11
-86.4,14.7,2.015,2.015,2.015,35,35,35.0,6.93,-2.9
-86.4,34.0,10.25,10.25,10.25,51,51,51.0,14.84,5.66
-86.4,109.5,-6.14,-6.14,-6.14,59,59,59.0,-2.94,-9.34
-86.4,169.4,7.689999999999999,7.689999999999999,7.689999999999999,74,74,74.0,13.52,1.86
-86.3,-163.2,-4.24,-4.24,-4.24,59,59,59.0,0.93,-9.41
-86.3,5.1,7.175,7.175,7.175,73,73,73.0,14.51,-0.16
-86.3,65.5,2.925,2.925,2.925,69,69,69.0,10.87,-5.02
-86.2,-50.5,6.68,6.68,6.68,33,33,33.0,11.66,1.7
-86.2,-48.2,0.7649999999999999,0.7649999999999999,0.7649999999999999,96,96,96.0,3.96,-2.43
-86.2,47.6,29.825,29.825,29.825,26,26,26.0,34.16,25.49
-86.2,62.8,13.4,13.4,13.4,38,38,38.0,16.32,10.48
-86.1,157.2,-14.105,-14.105,-14.105,79,79,79.0,-12.24,-15.97
-86.0,-86.1,38.63,38.63,38.63,25,25,25.0,44.09,33.17
-85.8,138.9,-11.515,-11.515,-11.515,67,67,67.0,-8.45,-14.58
-85.7,60.4,-4.65,-4.65,-4.65,63,63,63.0,0.6,-9.9
-85.6,-118.2,18.965,18.965,18.965,74,74,74.0,23.88,14.05
-85.6,-59.1,16.57,16.57,16.57,89,89,89.0,18.88,14.26
-85.6,30.0,8.315000000000001,8.315000000000001,8.315000000000001,45,45,45.0,10.21,6.42
-85.5,-49.2,26.74,26.74,26.74,41,41,41.0,33.12,20.36
-85.4,-71.2,34.185,34.185,34.185,64,64,64.0,39.16,29.21
-85.4,6.4,17.215,17.215,17.215,84,84,84.0,24.29,10.14
-85.3,-84.8,25.945,25.945,25.945,30,30,30.0,29.11,22.78
-85.2,68.5,-2.99,-2.99,-2.99,24,24,24.0,2.02,-8.0
-85.1,-151.4,-7.180000000000001,-7.180000000000001,-7.180000000000001,75,75,75.0,-0.31,-14.05
-85.1,65.0,7.15,7.15,7.15,32,32,32.0,8.34,5.96
-85.1,156.3,-9.185,-9.185,-9.185,98,98,98.0,-5.49,-12.88
-85.0,-57.5,25.31,25.31,25.31,17,17,17.0,29.68,20.94
-84.9,-102.4,38.24,38.24,38.24,66,66,66.0,40.82,35.66
-84.9,53.2,15.23,15.23,15.23,94,94,94.0,18.08,12.38
-84.8,45.5,12.32,12.32,12.32,14,14,14.0,16.55,8.09
-84.7,27.2,35.785,35.785,35.785,68,68,68.0,41.54,30.03
-84.3,-168.6,6.45,6.45,6.45,63,63,63.0,11.31,1.59
-84.3,-9.0,7.335,7.335,7.335,29,29,29.0,12.27,2.4
-84.2,77.7,19.77,19.77,19.77,45,45,45.0,26.29,13.25
-84.0,-20.6,25.935,25.935,25.935,16,16,16.0,32.21,19.66
-83.9,94.0,-8.235,-8.235,-8.235,57,57,57.0,-5.8,-10.67
-83.8,26.2,34.445,34.445,34.445,76,76,76.0,39.15,29.74
-83.8,50.3,3.1500000000000004,3.1500000000000004,3.1500000000000004,69,69,69.0,8.39,-2.09
-83.7,-25.8,18.46,18.46,18.46,98,98,98.0,24.64,12.28
-83.4,-58.0,4.355,4.355,4.355,13,13,13.0,8.61,0.1
-83.3,-14.1,38.465,38.465,38.465,24,24,24.0,41.59,35.34
-83.3,95.1,39.915,39.915,39.915,21,21,21.0,44.57,35.26
-83.2,-148.7,32.870000000000005,32.870000000000005,32.870000000000005,33,33,33.0,39.32,26.42
-83.1,-160.8,-12.1,-12.1,-12.1,66,66,66.0,-10.82,-13.38
-82.7,-115.4,39.44,39.44,39.44,55,55,55.0,42.77,36.11
-82.7,-112.5,-10.55,-10.55,-10.55,49,49,49.0,-4.86,-16.24
-82.7,86.7,12.315,12.315,12.315,26,26,26.0,16.52,8.11
-82.6,-131.2,4.75,4.75,4.75,68,68,68.0,8.88,0.62
-82.6,23.5,-13.035,-13.035,-13.035,21,21,21.0,-7.52,-18.55
-82.5,-87.9,34.25,34.25,34.25,37,37,37.0,38.24,30.26
-82.5,54.5,5.685,5.685,5.685,27,27,27.0,10.52,0.85
-82.4,-1.0,17.025,17.025,17.025,31,31,31.0,21.88,12.17
-82.3,-173.1,21.375,21.375,21.375,50,50,50.0,23.45,19.3
-82.3,-64.2,4.640000000000001,4.640000000000001,4.640000000000001,37,37,37.0,6.15,3.13
-82.2,101.4,12.485,12.485,12.485,69,69,69.0,18.94,6.03
-81.8,-133.3,5.07,5.07,5.07,65,65,65.0,10.56,-0.42
-81.7,-30.2,17.25,17.25,17.25,66,66,66.0,22.81,11.69
-81.6,-114.7,42.865,42.865,42.865,55,55,55.0,48.78,36.95
-81.6,65.9,-12.505,-12.505,-12.505,56,56,56.0,-7.24,-17.77
-81.5,11.0,6.925,6.925,6.925,52,52,52.0,12.99,0.86
-81.3,22.5,31.38,31.38,31.38,56,56,56.0,34.41,28.35
-81.3,130.5,25.33,25.33,25.33,91,91,91.0,29.68,20.98
-81.3,144.9,16.21,16.21,16.21,98,98,98.0,20.02,12.4
-81.2,-105.7,6.140000000000001,6.140000000000001,6.140000000000001,62,62,62.0,11.89,0.39
-81.2,-25.3,10.35,10.35,10.35,16,16,16.0,14.95,5.75
-81.1,132.7,-7.84,-7.84,-7.84,27,27,27.0,-5.04,-10.64
-81.0,-19.5,18.48,18.48,18.48,16,16,16.0,24.53,12.43
-81.0,32.3,9.695,9.695,9.695,25,25,25.0,13.36,6.03
-81.0,60.0,25.055,25.055,25.055,89,89,89.0,29.96,20.15
-80.9,-32.9,18.52,18.52,18.52,52,52,52.0,22.25,14.79
-80.8,-105.3,17.735,17.735,17.735,93,93,93.0,21.66,13.81
-80.7,-33.9,29.485,29.485,29.485,47,47,47.0,33.77,25.2
-80.7,20.8,3.745,3.745,3.745,94,94,94.0,8.49,-1.0
-80.6,-160.6,-11.02,-11.02,-11.02,96,96,96.0,-4.15,-17.89
-80.5,-101.6,-5.9350000000000005,-5.9350000000000005,-5.9350000000000005,30,30,30.0,-1.31,-10.56
-80.5,-67.1,40.775,40.775,40.775,47,47,47.0,46.05,35.5
-80.4,-157.8,28.355,28.355,28.355,11,11,11.0,32.03,24.68
-80.4,-34.4,32.035,32.035,32.035,84,84,84.0,36.96,27.11
-80.3,-115.5,22.59,22.59,22.59,95,95,95.0,26.97,18.21
-80.3,-41.9,33.355000000000004,33.355000000000004,33.355000000000004,90,90,90.0,38.82,27.89
-80.1,-124.7,11.685,11.685,11.685,23,23,23.0,14.7,8.67
-80.1,-108.9,35.585,35.585,35.585,59,59,59.0,42.08,29.09
-80.1,14.1,-11.645,-11.645,-11.645,70,70,70.0,-5.44,-17.85
-79.7,-46.2,-1.215,-1.215,-1.215,63,63,63.0,3.16,-5.59
-79.6,173.1,1.95,1.95,1.95,30,30,30.0,3.89,0.01
-79.4,-82.4,19.275,19.275,19.275,88,88,88.0,22.85,15.7
-79.2,-90.4,27.01,27.01,27.01,18,18,18.0,34.6,19.42
-79.2,-63.5,42.895,42.895,42.895,35,35,35.0,46.34,39.45
-79.1,13.4,-14.095,-14.095,-14.095,50,50,50.0,-9.92,-18.27
-79.1,16.3,32.78,32.78,32.78,84,84,84.0,34.48,31.08
-79.0,73.9,29.945,29.945,29.945,14,14,14.0,33.56,26.33
-78.9,-146.4,-0.6800000000000002,-0.6800000000000002,-0.6800000000000002,19,19,19.0,5.13,-6.49
-78.9,40.7,36.16,36.16,36.16,65,65,65.0,39.68,32.64
-78.9,74.9,38.08,38.08,38.08,19,19,19.0,44.13,32.03
-78.9,119.8,-8.135,-8.135,-8.135,76,76,76.0,-5.77,-10.5
-78.8,-52.9,-6.05,-6.05,-6.05,38,38,38.0,-2.4,-9.7
-78.8,-32.2,10.19,10.19,10.19,42,42,42.0,14.87,5.51
-78.8,12.9,35.075,35.075,35.075,58,58,58.0,39.0,31.15
-78.4,-113.8,37.06,37.06,37.06,42,42,42.0,38.62,35.5
-78.4,69.2,16.439999999999998,16.439999999999998,16.439999999999998,21,21,21.0,21.31,11.57
-78.3,72.3,6.21,6.21,6.21,26,26,26.0,8.7,3.72
-78.1,-121.8,37.355,37.355,37.355,92,92,92.0,40.75,33.96
-77.9,151.1,36.36,36.36,36.36,12,12,12.0,40.53,32.19
-77.8,-91.7,-13.245,-13.245,-13.245,97,97,97.0,-6.79,-19.7
-77.7,-161.8,19.4,19.4,19.4,78,78,78.0,24.95,13.85
-77.6,-110.4,13.34,13.34,13.34,79,79,79.0,16.72,9.96
-77.6,13.1,14.325,14.325,14.325,30,30,30.0,18.17,10.48
-77.6,22.2,36.47,36.47,36.47,59,59,59.0,40.75,32.19
-77.6,157.3,21.97,21.97,21.97,57,57,57.0,26.97,16.97
-77.5,50.7,35.739999999999995,35.739999999999995,35.739999999999995,26,26,26.0,39.18,32.3
-77.3,-141.2,28.515,28.515,28.515,100,100,100.0,31.26,25.77
-77.3,-77.8,-6.93,-6.93,-6.93,53,53,53.0,-4.0,-9.86
-77.2,-147.5,-9.495,-9.495,-9.495,23,23,23.0,-3.77,-15.22
-77.2,-100.2,5.234999999999999,5.234999999999999,5.234999999999999,65,65,65.0,8.85,1.62
-77.2,75.4,0.74,0.74,0.74,95,95,95.0,3.76,-2.28
-77.1,28.1,39.485,39.485,39.485,83,83,83.0,44.87,34.1
-77.1,49.2,-11.745,-11.745,-11.745,30,30,30.0,-6.13,-17.36
-76.9,-22.4,-6.26,-6.26,-6.26,21,21,21.0,-1.25,-11.27
-76.9,86.6,-10.19,-10.19,-10.19,23,23,23.0,-8.51,-11.87
-76.6,-1.7,17.41,17.41,17.41,58,58,58.0,22.5,12.32
-76.6,121.6,23.575000000000003,23.575000000000003,23.575000000000003,62,62,62.0,28.48,18.67
-76.5,4.0,-5.775,-5.775,-5.775,97,97,97.0,-0.93,-10.62
-76.3,83.8,-6.2,-6.2,-6.2,27,27,27.0,-1.64,-10.76
-76.3,115.5,-3.105,-3.105,-3.105,27,27,27.0,-1.37,-4.84
-76.2,8.0,7.295,7.295,7.295,12,12,12.0,12.3,2.29
-75.9,86.1,8.98,8.98,8.98,77,77,77.0,15.1,2.86
-75.8,-12.4,42.035,42.035,42.035,92,92,92.0,47.7,36.37
-75.6,-112.8,42.245000000000005,42.245000000000005,42.245000000000005,38,38,38.0,46.07,38.42
-75.6,110.2,32.845,32.845,32.845,41,41,41.0,35.95,29.74
-75.4,-75.1,42.165,42.165,42.165,17,17,17.0,47.11,37.22
-75.4,133.5,16.935,16.935,16.935,61,61,61.0,23.33,10.54
-75.3,-109.1,36.44,36.44,36.44,55,55,55.0,38.25,34.63
-75.0,-122.9,7.32,7.32,7.32,32,32,32.0,10.69,3.95
-75.0,97.2,-5.015,-5.015,-5.015,58,58,58.0,0.56,-10.59
-74.9,80.0,40.125,40.125,40.125,100,100,100.0,42.94,37.31
-74.8,-21.8,41.475,41.475,41.475,18,18,18.0,42.66,40.29
-74.7,35.1,0.6400000000000001,0.6400000000000001,0.6400000000000001,45,45,45.0,4.58,-3.3
-74.4,-130.0,-1.6849999999999996,-1.6849999999999996,-1.6849999999999996,44,44,44.0,4.19,-7.56
-74.3,35.2,3.725,3.725,3.725,27,27,27.0,7.37,0.08
-74.2,-145.0,-0.0950000000000002,-0.0950000000000002,-0.0950000000000002,44,44,44.0,6.59,-6.78
-74.2,-137.8,26.63,26.63,26.63,60,60,60.0,31.68,21.58
-74.0,138.6,5.96,5.96,5.96,41,41,41.0,10.52,1.4
-73.9,-108.8,11.155,11.155,11.155,17,17,17.0,15.2,7.11
-73.5,21.8,22.2,22.2,22.2,29,29,29.0,25.91,18.49
-73.2,151.0,16.725,16.725,16.725,18,18,18.0,19.25,14.2
-73.1,-167.4,6.010000000000001,6.010000000000001,6.010000000000001,63,63,63.0,9.88,2.14
-73.0,177.1,16.52,16.52,16.52,16,16,16.0,20.96,12.08
-72.9,113.0,17.03,17.03,17.03,16,16,16.0,24.48,9.58
-72.7,-68.7,-12.335,-12.335,-12.335,64,64,64.0,-10.28,-14.39
-72.4,128.9,18.09,18.09,18.09,32,32,32.0,22.75,13.43
-72.3,-21.4,32.84,32.84,32.84,100,100,100.0,37.17,28.51
-72.1,133.8,30.630000000000003,30.630000000000003,30.630000000000003,34,34,34.0,34.45,26.81
-72.0,-156.5,19.71,19.71,19.71,89,89,89.0,23.82,15.6
-72.0,-98.9,26.635,26.635,26.635,52,52,52.0,29.99,23.28
-72.0,-42.5,-4.390000000000001,-4.390000000000001,-4.390000000000001,83,83,83.0,0.37,-9.15
-71.8,54.4,28.845,28.845,28.845,38,38,38.0,34.73,22.96
-71.6,-143.6,-1.5300000000000002,-1.5300000000000002,-1.5300000000000002,93,93,93.0,3.05,-6.11
-71.6,71.5,40.965,40.965,40.965,34,34,34.0,46.51,35.42
-71.5,-110.0,23.31,23.31,23.31,65,65,65.0,28.8,17.82
-71.4,-114.1,18.715,18.715,18.715,52,52,52.0,24.23,13.2
-71.2,-162.1,24.885,24.885,24.885,28,28,28.0,26.87,22.9
-71.1,73.4,30.45,30.45,30.45,83,83,83.0,34.73,26.17
-71.1,100.5,40.425,40.425,40.425,95,95,95.0,45.67,35.18
-71.1,106.2,-14.825,-14.825,-14.825,54,54,54.0,-11.17,-18.48
-70.9,21.7,4.52,4.52,4.52,33,33,33.0,9.42,-0.38
-70.6,-133.5,37.865,37.865,37.865,33,33,33.0,43.64,32.09
-70.6,153.2,-4.755,-4.755,-4.755,22,22,22.0,-2.46,-7.05
-70.5,-2.2,24.88,24.88,24.88,98,98,98.0,27.18,22.58
-70.4,-34.8,24.285,24.285,24.285,47,47,47.0,29.49,19.08
-70.4,69.5,15.09,15.09,15.09,58,58,58.0,17.65,12.53
-70.4,100.8,-12.185,-12.185,-12.185,69,69,69.0,-10.7,-13.67
-70.4,166.1,-9.155,-9.155,-9.155,25,25,25.0,-7.04,-11.27
-70.2,-6.4,-0.31,-0.31,-0.31,93,93,93.0,4.13,-4.75
-70.1,126.4,39.275000000000006,39.275000000000006,39.275000000000006,61,61,61.0,43.13,35.42
-70.0,39.2,-9.165,-9.165,-9.165,84,84,84.0,-3.28,-15.05
-69.8,65.1,37.56,37.56,37.56,24,24,24.0,42.61,32.51
-69.7,157.2,-1.865,-1.865,-1.865,93,93,93.0,2.69,-6.42
-69.6,-123.4,16.035,16.035,16.035,48,48,48.0,23.29,8.78
-69.4,-66.6,18.66,18.66,18.66,73,73,73.0,21.56,15.76
-69.4,105.4,31.29,31.29,31.29,24,24,24.0,36.55,26.03
-69.3,-170.3,5.944999999999999,5.944999999999999,5.944999999999999,40,40,40.0,12.95,-1.06
-69.2,-156.5,23.75,23.75,23.75,76,76,76.0,27.18,20.32
-69.1,-19.2,31.69,31.69,31.69,96,96,96.0,36.95,26.43
-69.0,-2.3,6.23,6.23,6.23,56,56,56.0,11.26,1.2
-68.9,68.8,41.85,41.85,41.85,30,30,30.0,43.61,40.09
-68.8,126.6,4.72,4.72,4.72,31,31,31.0,8.53,0.91
-68.7,-2.6,-1.92,-1.92,-1.92,94,94,94.0,3.64,-7.48
-68.7,8.4,22.83,22.83,22.83,83,83,83.0,26.21,19.45
-68.6,-41.1,20.225,20.225,20.225,47,47,47.0,25.78,14.67
-68.6,109.3,25.985,25.985,25.985,95,95,95.0,32.0,19.97
-68.6,166.9,21.165,21.165,21.165,33,33,33.0,27.03,15.3
-68.4,-129.9,28.375,28.375,28.375,97,97,97.0,35.5,21.25
-68.4,24.5,-11.535,-11.535,-11.535,28,28,28.0,-6.7,-16.37
-68.3,26.4,-0.76,-0.76,-0.76,16,16,16.0,1.4,-2.92
-68.1,-77.4,14.645,14.645,14.645,37,37,37.0,18.83,10.46
-67.9,-169.8,25.255,25.255,25.255,38,38,38.0,31.68,18.83
-67.9,-88.5,-8.475,-8.475,-8.475,22,22,22.0,-1.91,-15.04
-67.9,53.8,-14.195,-14.195,-14.195,61,61,61.0,-9.75,-18.64
-67.8,137.1,0.7350000000000001,0.7350000000000001,0.7350000000000001,93,93,93.0,4.0,-2.53
-67.7,-100.5,9.28,9.28,9.28,99,99,99.0,13.49,5.07
-67.6,15.5,-5.975,-5.975,-5.975,96,96,96.0,-1.62,-10.33
-67.4,-52.3,5.085,5.085,5.085,93,93,93.0,11.04,-0.87
-67.2,-80.1,40.81,40.81,40.81,73,73,73.0,48.37,33.25
-67.2,-43.2,17.330000000000002,17.330000000000002,17.330000000000002,81,81,81.0,20.6,14.06
-67.0,-119.5,-13.595,-13.595,-13.595,95,95,95.0,-8.18,-19.01
-67.0,53.2,40.53,40.53,40.53,47,47,47.0,42.87,38.19
-67.0,75.6,28.565,28.565,28.565,84,84,84.0,34.22,22.91
-66.9,-87.6,1.245,1.245,1.245,50,50,50.0,6.95,-4.46
-66.7,-172.4,14.875,14.875,14.875,98,98,98.0,20.35,9.4
-66.7,-26.2,5.66,5.66,5.66,95,95,95.0,12.24,-0.92
-66.6,-72.2,-0.3900000000000001,-0.3900000000000001,-0.3900000000000001,85,85,85.0,5.41,-6.19
-66.6,-1.3,38.8,38.8,38.8,60,60,60.0,44.79,32.81
-66.6,2.5,34.96,34.96,34.96,64,64,64.0,37.83,32.09
-66.6,168.3,22.805,22.805,22.805,17,17,17.0,25.86,19.75
-66.5,59.8,-8.13,-8.13,-8.13,67,67,67.0,-3.8,-12.46
-66.5,160.8,35.89,35.89,35.89,27,27,27.0,39.27,32.51
-66.5,165.3,30.585,30.585,30.585,16,16,16.0,35.47,25.7
-66.1,-64.1,-8.290000000000001,-8.290000000000001,-8.290000000000001,71,71,71.0,-4.62,-11.96
-66.0,-25.9,21.165,21.165,21.165,20,20,20.0,22.57,19.76
-66.0,175.6,30.26,30.26,30.26,92,92,92.0,34.15,26.37
-65.9,-77.6,27.005,27.005,27.005,71,71,71.0,32.76,21.25
-65.9,121.1,21.855,21.855,21.855,53,53,53.0,27.98,15.73
-65.9,166.5,35.445,35.445,35.445,27,27,27.0,38.33,32.56
-65.8,-122.1,37.605,37.605,37.605,31,31,31.0,41.09,34.12
-65.8,-52.6,20.985,20.985,20.985,63,63,63.0,26.65,15.32
-65.8,105.1,1.94,1.94,1.94,25,25,25.0,7.32,-3.44
-65.7,45.6,31.53,31.53,31.53,15,15,15.0,36.11,26.95
-65.6,-140.1,7.41,7.41,7.41,32,32,32.0,13.97,0.85
-65.4,-78.7,-3.68,-3.68,-3.68,24,24,24.0,1.08,-8.44
-65.4,87.8,25.155,25.155,25.155,51,51,51.0,29.11,21.2
-65.1,-113.5,34.47,34.47,34.47,62,62,62.0,42.09,26.85
-65.1,22.8,41.595,41.595,41.595,27,27,27.0,45.15,38.04
-64.9,-69.0,8.29,8.29,8.29,75,75,75.0,14.76,1.82
-64.9,-51.7,14.28,14.28,14.28,54,54,54.0,16.64,11.92
-64.8,84.9,-3.31,-3.31,-3.31,45,45,45.0,0.29,-6.91
-64.8,92.2,-11.355,-11.355,-11.355,47,47,47.0,-6.8,-15.91
-64.7,22.6,16.58,16.58,16.58,40,40,40.0,20.49,12.67
-64.7,108.0,0.69,0.69,0.69,38,38,38.0,4.51,-3.13
-64.6,-128.6,32.855000000000004,32.855000000000004,32.855000000000004,18,18,18.0,36.86,28.85
-64.6,-67.6,0.1149999999999997,0.1149999999999997,0.1149999999999997,15,15,15.0,7.3,-7.07
-64.4,-75.9,20.08,20.08,20.08,11,11,11.0,24.7,15.46
-64.4,139.4,40.865,40.865,40.865,82,82,82.0,46.65,35.08
-64.3,-37.4,34.96,34.96,34.96,94,94,94.0,38.81,31.11
-64.3,3.4,15.475,15.475,15.475,74,74,74.0,22.35,8.6
-64.2,-173.9,16.865,16.865,16.865,34,34,34.0,21.31,12.42
-64.1,-35.7,21.505,21.505,21.505,84,84,84.0,27.72,15.29
-64.1,135.8,12.975,12.975,12.975,30,30,30.0,18.66,7.29
-63.9,6.2,-7.775,-7.775,-7.775,75,75,75.0,-5.0,-10.55
-63.9,104.3,-14.05,-14.05,-14.05,50,50,50.0,-8.12,-19.98
-63.7,-74.5,32.7,32.7,32.7,65,65,65.0,36.87,28.53
-63.6,12.1,33.29,33.29,33.29,14,14,14.0,38.67,27.91
-63.5,-10.8,38.56,38.56,38.56,28,28,28.0,42.87,34.25
-63.4,-24.0,13.03,13.03,13.03,86,86,86.0,19.49,6.57
-63.3,86.2,33.675,33.675,33.675,25,25,25.0,37.31,30.04
-63.3,131.0,14.385,14.385,14.385,27,27,27.0,20.81,7.96
-63.2,0.4,-3.585,-3.585,-3.585,25,25,25.0,0.72,-7.89
-63.1,-123.6,34.905,34.905,34.905,71,71,71.0,39.74,30.07
-63.1,-113.0,6.335,6.335,6.335,81,81,81.0,14.2,-1.53
-63.1,119.5,-1.62,-1.62,-1.62,12,12,12.0,4.09,-7.33
-62.8,-38.4,41.285,41.285,41.285,79,79,79.0,47.71,34.86
-62.8,45.7,8.83,8.83,8.83,72,72,72.0,13.02,4.64
-62.8,71.0,-3.35,-3.35,-3.35,51,51,51.0,-0.68,-6.02
-62.7,-131.6,35.09,35.09,35.09,31,31,31.0,37.39,32.79
-62.7,-103.6,11.305,11.305,11.305,39,39,39.0,16.27,6.34
-62.6,-45.0,36.870000000000005,36.870000000000005,36.870000000000005,77,77,77.0,38.88,34.86
-62.4,108.5,15.665,15.665,15.665,18,18,18.0,20.51,10.82
-62.3,-51.6,-14.35,-14.35,-14.35,50,50,50.0,-12.81,-15.89
-62.2,47.1,-6.315,-6.315,-6.315,39,39,39.0,-0.8,-11.83
-62.1,26.3,9.06,9.06,9.06,48,48,48.0,15.14,2.98
-62.0,52.1,24.235,24.235,24.235,69,69,69.0,26.58,21.89
-62.0,103.0,-11.095,-11.095,-11.095,22,22,22.0,-9.62,-12.57
-61.9,-108.2,24.455,24.455,24.455,80,80,80.0,26.48,22.43
-61.9,51.6,35.03,35.03,35.03,86,86,86.0,39.86,30.2
-61.8,-176.5,-9.67,-9.67,-9.67,71,71,71.0,-5.07,-14.27
-61.8,153.4,39.04,39.04,39.04,97,97,97.0,44.87,33.21
-61.6,-42.0,6.9750000000000005,6.9750000000000005,6.9750000000000005,56,56,56.0,13.63,0.32
-61.6,84.6,31.89,31.89,31.89,77,77,77.0,37.56,26.22
-61.6,91.3,25.005000000000003,25.005000000000003,25.005000000000003,77,77,77.0,27.92,22.09
-61.5,-1.0,27.735,27.735,27.735,54,54,54.0,35.4,20.07
-61.5,0.9,-15.15,-15.15,-15.15,24,24,24.0,-10.78,-19.52
-61.5,54.6,26.375,26.375,26.375,31,31,31.0,29.71,23.04
-61.3,-89.0,24.56,24.56,24.56,60,60,60.0,31.29,17.83
-61.3,-40.6,33.7,33.7,33.7,27,27,27.0,39.47,27.93
-61.3,139.3,19.405,19.405,19.405,97,97,97.0,24.45,14.36
-61.1,-8.1,34.675,34.675,34.675,30,30,30.0,41.36,27.99
-61.0,-145.2,33.23,33.23,33.23,85,85,85.0,34.97,31.49
-60.7,164.7,13.89,13.89,13.89,73,73,73.0,20.92,6.86
-60.6,-81.5,30.55,30.55,30.55,21,21,21.0,36.97,24.13
-60.6,-45.5,-0.7800000000000002,-0.7800000000000002,-0.7800000000000002,100,100,100.0,3.38,-4.94
-60.6,23.8,9.905,9.905,9.905,44,44,44.0,15.81,4.0
-60.6,26.2,15.705,15.705,15.705,11,11,11.0,21.61,9.8
-60.4,-73.1,-11.985,-11.985,-11.985,62,62,62.0,-6.83,-17.14
-60.2,-129.3,-12.115,-12.115,-12.115,89,89,89.0,-8.67,-15.56
-60.2,177.5,-12.1,-12.1,-12.1,44,44,44.0,-5.76,-18.44
-60.1,42.7,2.0500000000000003,2.0500000000000003,2.0500000000000003,78,78,78.0,8.22,-4.12
-59.9,-141.1,-4.08,-4.08,-4.08,22,22,22.0,-0.42,-7.74
-59.8,-170.5,23.785,23.785,23.785,62,62,62.0,26.83,20.74
-59.2,-41.9,-2.495,-2.495,-2.495,77,77,77.0,3.5,-8.49
-59.0,-165.2,25.07,25.07,25.07,88,88,88.0,27.13,23.01
-58.8,103.9,31.99,31.99,31.99,64,64,64.0,34.96,29.02
-58.8,158.7,44.6,44.6,44.6,38,38,38.0,49.33,39.87
-58.6,174.6,7.875,7.875,7.875,99,99,99.0,10.0,5.75
-58.2,-79.6,23.66,23.66,23.66,79,79,79.0,30.62,16.7
-58.0,-170.1,21.38,21.38,21.38,96,96,96.0,26.7,16.06
-57.9,-81.1,39.73,39.73,39.73,15,15,15.0,45.92,33.54
